DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3713.5,169.012,112.981,10.688,72.424,2.595
3713.625,169.776,112.622,10.802,73.183,2.609
3713.75,171.603,112.256,10.849,74.094,2.628
3713.875,173.85,111.441,10.802,74.985,2.645
3714,175.318,110.015,10.664,75.724,2.655
3714.125,175.367,108.05,10.486,76.25,2.66
3714.25,174.529,105.897,10.348,76.567,2.662
3714.375,173.516,103.985,10.303,76.699,2.661
3714.5,172.719,102.547,10.383,76.671,2.658
3714.625,172.051,101.65,10.57,76.501,2.649
3714.75,171.558,101.338,10.872,76.195,2.639
3714.875,171.63,101.36,11.276,75.753,2.631
3715,172.297,101.453,11.731,75.193,2.627
3715.125,173.104,101.444,12.165,74.561,2.626
3715.25,173.588,101.291,12.528,73.916,2.627
3715.375,173.725,101.063,12.786,73.294,2.629
3715.5,173.924,100.717,12.953,72.683,2.632
3715.625,174.417,100.073,13,72.045,2.637
3715.75,174.664,99.149,12.891,71.376,2.643
3715.875,173.356,98.185,12.599,70.728,2.647
3716,170.035,97.512,12.169,70.183,2.651
3716.125,165.652,97.297,11.678,69.808,2.655
3716.25,162.537,97.465,11.206,69.621,2.658
3716.375,162.16,97.839,10.794,69.591,2.655
3716.5,164.372,98.539,10.438,69.665,2.643
3716.625,167.615,100.388,10.034,69.79,2.624
3716.75,170.621,103.962,9.537,69.945,2.602
3716.875,172.785,109.583,8.885,70.162,2.587
3717,174.038,116.278,8.115,70.523,2.581
3717.125,174.148,122.237,7.364,71.095,2.586
3717.25,172.979,125.923,6.766,71.879,2.6
3717.375,170.933,126.833,6.459,72.799,2.618
3717.5,169.06,125.275,6.54,73.753,2.633
3717.625,168.308,121.927,7.09,74.675,2.638
3717.75,168.578,117.392,8.034,75.54,2.633
3717.875,168.978,111.98,9.214,76.321,2.623
3718,168.524,105.861,10.39,76.969,2.613
3718.125,167.272,99.557,11.375,77.441,2.611
3718.25,166.019,93.918,12.041,77.724,2.616
3718.375,165.389,89.892,12.35,77.833,2.627
3718.5,165.293,88.381,12.258,77.791,2.641
3718.625,165.017,89.694,11.757,77.617,2.654
3718.75,164.227,93.558,10.865,77.339,2.665
3718.875,163.515,99.076,9.729,76.988,2.672
3719,163.899,105.629,8.507,76.592,2.676
3719.125,165.613,113.063,7.33,76.173,2.678
