DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1
4000.19,153.789,105.903,6.399,84.295,2.61324
4000.315,151.452,104.248,6.329,83.655,2.60409
4000.44,141.613,96.486,6.268,82.763,2.59301
4000.565,127.987,85.467,6.174,81.743,2.58647
4000.69,122.771,78.898,6.451,80.854,2.58696
4000.815,129.046,79.825,7.014,80.293,2.59236
4000.94,139.292,84.172,7.475,80.196,2.59882
4001.065,142.977,85.79,7.636,80.467,2.60601
4001.19,141.721,84.621,7.773,80.898,2.61416
4001.315,142.033,84.25,7.941,81.259,2.61937
4001.44,145.215,85.102,8.237,81.397,2.6167
4001.565,149.923,86.843,8.584,81.28,2.60824
4001.69,154.365,89.116,8.798,80.969,2.59958
4001.815,157.666,91.542,8.824,80.643,2.59649
4001.94,159.586,93.441,8.782,80.432,2.60241
4002.065,159.424,94.599,8.659,80.435,2.61011
4002.19,157.211,95.2,8.444,80.664,2.61283
4002.315,154.387,95.331,8.224,81.111,2.60959
4002.44,154.093,96.305,8.089,81.663,2.60366
4002.565,158.498,101.118,7.907,82.185,2.60227
4002.69,168.357,110.655,7.775,82.559,2.60934
4002.815,179.771,120.518,7.811,82.733,2.61958
4002.94,187.261,125.734,7.982,82.733,2.63006
4003.065,185.637,122.135,8.256,82.647,2.63758
4003.19,177.93,110.906,8.884,82.554,2.64129
4003.315,169.121,99,9.545,82.443,2.64107
4003.44,164.355,93.128,9.879,82.315,2.63787
4003.565,163.735,90.996,10.118,82.207,2.63621
4003.69,165.281,89.996,10.402,82.159,2.63957
4003.815,167.501,89.696,10.631,82.274,2.64495
4003.94,170.919,91.477,10.753,82.647,2.64926
4004.065,176.892,97.7,10.691,83.28,2.651
4004.19,184.384,106.927,10.466,83.965,2.65282
4004.315,190.849,114.422,10.284,84.517,2.655
4004.44,195.391,117.697,10.367,84.784,2.65361
4004.565,199.639,118.58,10.684,84.679,2.6457
4004.69,202.685,118.021,11.088,84.186,2.63224
4004.815,201.893,116.028,11.294,83.509,2.61905
